0,TITLE,remote,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,DATE,20180316,START,51737,TIME,333,,,,,,,,,,,,,,,,,,,,,,,
0,TEMPERATURE,23,HUMIDITY,50,PRESSURE,1013.25,,,,,,,,,,,,,,,,,,,,,,,
0,HEADER,Order,1@,,,,,,,,,,,,,,,,,,,,,,,,,,
0,HEADER,UserGridCorrect Current file path,C:\SCAM\PRM\TFT100-0812.dat,,,,,,,,,,,,,,,,,,,,,,,,,,
0,HEADER,UserGridCorrect Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,DATA UNIT,µm,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,STANDARD COORDINATE,X,0,Y,0,A,0,X REVERSE,OFF,Y REVERSE,OFF,,,,,,,,,,,,,,,,,,
0,IMAGE AUTO SAVE,OperationMode=Auto,Status=Enabled,Path=C:\SCAM\image_auto_save\191a\20180316051737,,,,,,,,,,,,,,,,,,,,,,,,,
0,MACRO NAME,OperationMode=Auto,Path1=c:\scam\mac\camerachange.mac,Path2=c:\scam\mac\191a.mac,Path3=c:\scam\mac\over.mac,,,,,,,,,,,,,,,,,,,,,,,,
1,1,603,X,43030.79008,0,0,0,Y,480529.7858,0,0,0,A,89.934724,0,0,0,,,,,,,,,,,,
2,1,603,X,42988.89324,0,0,0,Y,480567.4751,0,0,0,A,-90.065269,0,0,0,,,,,,,,,,,,
3,1,603,X,42989.13123,0,0,0,Y,480568.2024,0,0,0,A,89.934733,0,0,0,,,,,,,,,,,,
4,2,4,X,-0.758513,0,0,0,Y,-356500.3503,0,0,0,A,101.328062,0,0,0,MOVE,,,,,,,,,,,
5,1,606,X,399489.2494,0,0,0,Y,480161.3484,0,0,0,A,89.934733,0,0,0,,,,,,,,,,,,
6,2,52,X,-420229.3868,0,0,0,Y,-334943.5173,0,0,0,DS,6.636968,6.5,0.7,-0.7,Z,-31942.4,0,0,0,CD1,,,,,,
7,2,52,X,-33446.07361,0,0,0,Y,-334947.3734,0,0,0,DS,6.412323,6.5,0.7,-0.7,Z,-31936.8,0,0,0,CD2,,,,,,
8,2,52,X,9908.108993,0,0,0,Y,-334947.3224,0,0,0,DS,6.471415,6.5,0.7,-0.7,Z,-31931.2,0,0,0,CD3,,,,,,
9,2,52,X,416673.0747,0,0,0,Y,-334946.2734,0,0,0,DS,6.34238,6.5,0.7,-0.7,Z,-31945.42,0,0,0,CD4,,,,,,
10,2,52,X,203489.1877,0,0,0,Y,-156555.1363,0,0,0,DS,6.300641,6.5,0.7,-0.7,Z,-31903.86,0,0,0,CD5,,,,,,
11,2,52,X,-226144.4276,0,0,0,Y,-156556.1397,0,0,0,DS,6.54398,6.5,0.7,-0.7,Z,-31932.66,0,0,0,CD6,,,,,,
12,2,52,X,-420228.2596,0,0,0,Y,-7322.494563,0,0,0,DS,6.39316,6.5,0.7,-0.7,Z,-31920.3,0,0,0,CD7,,,,,,
13,2,52,X,-33445.57297,0,0,0,Y,-7323.939895,0,0,0,DS,6.263095,6.5,0.7,-0.7,Z,-31827.6,0,0,0,CD8,,,,,,
14,2,52,X,9909.218595,0,0,0,Y,-7324.469275,0,0,0,DS,6.363026,6.5,0.7,-0.7,Z,-31828.52,0,0,0,CD9,,,,,,
15,2,52,X,416673.4959,0,0,0,Y,-7325.328012,0,0,0,DS,6.385477,6.5,0.7,-0.7,Z,-31941.72,0,0,0,CD10,,,,,,
16,2,52,X,416672.8775,0,0,0,Y,34813.79135,0,0,0,DS,6.464097,6.5,0.7,-0.7,Z,-31939.26,0,0,0,CD11,,,,,,
17,2,52,X,9907.934361,0,0,0,Y,34812.49765,0,0,0,DS,6.455541,6.5,0.7,-0.7,Z,-31839.3,0,0,0,CD12,,,,,,
18,2,52,X,-33446.49572,0,0,0,Y,34814.13448,0,0,0,DS,6.348947,6.5,0.7,-0.7,Z,-31844.72,0,0,0,CD13,,,,,,
19,2,52,X,-420229.1998,0,0,0,Y,34815.49639,0,0,0,DS,6.367062,6.5,0.7,-0.7,Z,-31927.8,0,0,0,CD14,,,,,,
20,2,52,X,-226144.2385,0,0,0,Y,202483.5848,0,0,0,DS,6.520956,6.5,0.7,-0.7,Z,-31923.12,0,0,0,CD15,,,,,,
21,2,52,X,203488.946,0,0,0,Y,202484.8279,0,0,0,DS,6.456627,6.5,0.7,-0.7,Z,-31909.68,0,0,0,CD16,,,,,,
22,2,52,X,416673.4028,0,0,0,Y,332964.764,0,0,0,DS,6.619978,6.5,0.7,-0.7,Z,-31945.62,0,0,0,CD17,,,,,,
23,2,52,X,9909.067178,0,0,0,Y,332964.2916,0,0,0,DS,6.382998,6.5,0.7,-0.7,Z,-31929.58,0,0,0,CD18,,,,,,
24,2,52,X,-33445.27633,0,0,0,Y,332962.8056,0,0,0,DS,6.427996,6.5,0.7,-0.7,Z,-31934.24,0,0,0,CD19,,,,,,
25,2,52,X,-420227.8698,0,0,0,Y,332965.8527,0,0,0,DS,6.450943,6.5,0.7,-0.7,Z,-31934.36,0,0,0,CD20,,,,,,
